time,heartRate,distance,height
0,106,2.220826806,-69.3723146581
1.136,106,4.6419197627,-69.4795790549
1.506,106,4.6419197627,-69.4795790549
1.886,106,4.6419197627,-69.4795790549
2.2565,106,7.4570386508,-69.6568783754
3.0295,106,9.9836357759,-69.8953759125
3.401,106,9.9836357759,-69.8953759125
3.7725,106,9.9836357759,-69.8953759125
4.145,106,12.6718921146,-70.077084663
5.6395,108,12.6718921146,-69.683378371
5.982,108,12.6718921146,-69.683378371
6.325,108,12.6718921146,-69.4852577275
7.0895,111,12.6718921146,-70.0385980042
7.787,111,12.6718921146,-70.0385980042
8.0805,117,12.6718921146,-70.6524748319
8.231,117,12.6718921146,-70.6524748319
10.3625,119,12.6718921146,-70.9616077635
11.097,119,12.6718921146,-70.9616077635
11.4595,119,12.6718921146,-70.9351110139
11.782,119,12.6718921146,-70.9351110139
12.1745,119,12.6718921146,-69.9155659299
12.929,119,12.6718921146,-69.9155659299
14.0755,119,12.6718921146,-71.4133039066
14.817,120,12.6718921146,-71.3047976789
16.6315,126,39.8456804986,-71.5066688274
19.556,126,48.8607723969,-71.5893087022
19.906,126,48.8607723969,-71.5893087022
21.7305,123,61.8915055984,-71.6656396082
22.081,123,61.8915055984,-71.6656396082
23.1785,123,64.1923146081,-72.134336981
23.901,121,66.0948614892,-72.2308494387
24.6945,119,69.3887953502,-72.160199884
25.026,119,69.3887953502,-72.160199884
25.447,122,72.882971799,-72.5197506761
25.78,122,72.882971799,-72.5197506761
28.289,119,78.6840950086,-72.2453577702
28.992,119,80.8918566819,-72.1198284952
31.5195,125,80.8918566819,-72.0996427422
31.871,125,80.8918566819,-72.0996427422
33.3205,125,80.8918566819,-72.0756721098
34.0525,128,80.8918566819,-72.0050215046
34.405,128,80.8918566819,-72.0050215046
34.746,128,80.8918566819,-72.0050215046
38.0015,131,80.8918566819,-72.1122588424
39.824,131,80.8918566819,-72.3242070451
40.529,131,80.8918566819,-72.3765626345
40.8705,131,80.8918566819,-72.3765626345
41.243,131,80.8918566819,-72.3765626345
45.1845,138,80.8918566819,-72.1829087216
46.6255,142,84.6612619557,-72.3746702684
46.977,142,84.6612619557,-72.3746702684
49.869,148,84.6612619557,-72.5538127403
50.522,148,84.6612619557,-72.5538127403
51.236,148,84.6612619557,-72.644644368
52.3095,148,84.6612619557,-72.6143672466
53.031,148,84.6612619557,-72.4692881544
53.391,148,84.6612619557,-72.4692881544
56.241,150,84.6612619557,-72.3242070451
58.081,156,84.6612619557,-72.3317765442
58.4145,156,84.6612619557,-72.3317765442
58.78,156,84.6612619557,-71.950771608
59.124,156,84.6612619557,-71.950771608
60.553,162,84.6612619557,-72.0050215046
63.826,159,84.6612619557,-71.7646797036
64.176,159,84.6612619557,-71.7646797036
65.9905,161,84.6612619557,-72.2895134375
66.341,161,84.6612619557,-72.2895134375
66.691,161,84.6612619557,-72.2895134375
67.741,163,84.6612619557,-72.0592711191
68.4835,163,84.6612619557,-72.0592711191
68.836,163,84.6612619557,-71.9179692082
69.1885,163,84.6612619557,-71.9179692082
69.541,163,84.6612619557,-71.9179692082
69.971,163,84.6612619557,-71.9911436509
70.643,163,84.6612619557,-71.9911436509
73.155,167,84.6612619557,-71.9280622653
73.5075,167,84.6612619557,-71.9280622653
73.86,167,84.6612619557,-71.9280622653
74.2125,167,84.6612619557,-72.0289922993
74.6055,167,84.6612619557,-72.0289922993
74.936,169,84.6612619557,-72.0756721098
75.93,169,84.6612619557,-72.0718872681
76.0705,169,84.6612619557,-72.0718872681
77.436,166,126.1387047411,-72.2232798664
77.786,166,126.1387047411,-72.2232798664
78.481,166,126.1387047411,-72.1967863203
78.861,166,126.1387047411,-72.1967863203
79.5625,163,126.1387047411,-72.3342997093
81.702,164,126.1387047411,-72.2390498024
82.4195,164,230.4150252354,-72.4774883308
85.64,164,230.4150252354,-72.5563358517
86.3645,166,230.4150252354,-72.5134428742
86.728,166,230.4150252354,-72.5134428742
87.8055,166,251.9660248691,-72.4005325758
89.206,169,251.9660248691,-72.6427520505
89.9205,169,251.9660248691,-72.6427520505
90.273,171,251.9660248691,-72.6004902033
90.977,171,251.9660248691,-72.6004902033
92.041,171,251.9660248691,-72.634552004
92.393,171,260.5816133132,-72.5462434023
92.7455,171,260.5816133132,-72.5462434023
93.108,171,260.5816133132,-72.5582281849
93.4605,171,260.5816133132,-72.5582281849
93.812,171,260.5816133132,-72.5582281849
94.164,171,260.5816133132,-72.5922901236
98.4235,168,270.9008196603,-72.249142549
100.5215,171,270.9008196603,-72.4976733529
100.853,171,270.9008196603,-72.4976733529
101.265,171,270.9008196603,-72.6812291058
101.929,171,270.9008196603,-72.6812291058
104.073,171,290.500872021,-72.7253829289
104.7545,176,290.500872021,-72.6730290895
105.818,181,290.500872021,-72.7859364396
106.871,181,290.500872021,-72.5033503833
107.211,181,290.500872021,-72.5033503833
108.676,179,362.2256205226,-72.2838362908
109.029,179,362.2256205226,-72.2838362908
109.3925,176,362.2256205226,-72.3948554894
110.104,176,362.2256205226,-72.3948554894
110.8075,176,362.2256205226,-72.1665078994
111.189,176,362.2256205226,-72.1665078994
111.551,176,362.2256205226,-72.132444571
111.9135,176,362.2256205226,-72.132444571
112.246,176,362.2256205226,-72.132444571
112.616,176,394.7266447335,-71.9785274043
112.976,176,394.7266447335,-71.9785274043
113.7145,176,394.7266447335,-72.1444298289
114.016,176,394.7266447335,-72.1444298289
114.3685,176,394.7266447335,-72.0289922993
114.7615,176,394.7266447335,-72.0289922993
116.8175,173,394.7266447335,-71.9608646334
116.938,173,394.7266447335,-71.9608646334
117.2685,173,394.7266447335,-71.9608646334
117.564,173,409.4048060371,-71.7728804337
120.05,173,409.4048060371,-71.8353319361
120.3925,173,409.4048060371,-71.8353319361
121.1075,172,409.4048060371,-71.6839337094
122.166,171,409.4048060371,-71.6094954424
123.9565,173,413.96121725,-71.6719479226
127.817,176,421.1209634432,-71.3047976789
129.601,176,421.1209634432,-71.3047976789
130.657,176,421.1209634432,-71.4921594688
131.0095,175,421.1209634432,-71.1350967233
132.451,175,421.1209634432,-71.6031870903
133.132,178,436.305686442,-71.3306626379
136.019,175,436.305686442,-71.160962103
